title,imgName,altText,storyMedia1,storyMedia2,storyMedia3,storyMedia4,storyText
Escheresque,myEscher.png,Mathematics behind Escher’s Circle Limit III,myEscher1.png,myEscher2.png,myEscher3.png,,"Dutch artist M.C. Escher relied on math to create his art. These images illustrate the steps in constructing Escher's Woodcut Circle Limit III (1959). The underlying structure is that of hyperbolic tessellation (3, 4, 3, 4, 3, 4). The color and the theory of symmetry is used to find the basic tile, circled in red in the next image. Finally, the choice of the three-fish pattern (left bottom) for the tile recreates Woodcut Circle Limit III."
Soccer Ball Reinvented,soccerBall.png,Why are soccer balls made out of pentagons and hexagons? Any alternatives for octagon lovers?,soccerBall1.png,soccerBall2.png,soccerBall3.png,soccerBall4.png,"A soccer ball is not a sphere; it’s an approximation built from pentagons and hexagons. More precisely, there are two pentagons and a hexagon at each corner, or (5, 5, 6). Spheres may be approximated many ways with polygons. For example, the polyhedron (3, 3, 3, 3, 5), consisting of four triangles and a pentagon at each vertex, is also a tessellation of a sphere. Viewing these deconstructions (a wireframe of just pentagons and just triangles), the tessellation reinvents the soccer ball."
The Shape of the Universe,shapeUni.png,Flat or curved? What is the shape of space we live in?,shapeUni.gif,shapeUni1.png,shapeUniRot.gif,,"What would it look like to live in a so called hyperbolic space, where space curves "negatively" -- just the opposite of the "positively curved" sphere? Since the Earth is not flat, the roads we travel on are not straight lines -- they lie on the surface of our planet. We experience a very small part of our universe that appears flat, but if we could see it from a mathematical perspective, like the octagon in this animation, we would agree that our universe is curved. Einstein's "Theory of General Relativity" states that the curvature of space is what we experience as gravity. So, "curved space" is not just idle curiosity."
Caught in a Dual Net,caughtInaDualNetF.png,,caughtInaDualNetF1.png,caughtInaDualNetF2.png,caughtInaDualNetF3.png,,"In 1976, Felix Klein wrote about a tessellation with seven triangles at each vertex (3, 3, 3, 3, 3, 3, 3) shown in red. This image, titled Caught in a Dual Net (2008), contains (3, 3, 3, 3, 3, 3, 3) combined with a tessellation with three heptagons at each vertex in purple, revealing a new tessellation (6, 6, 7). The turquoise heptagon and two hexagons are bounded by wire models of (3, 3, 3, 3, 3, 3, 3) and (7, 7, 7, 7, 7, 7, 7) with edges alternating between red and purple."
Tessellation or Not?,seaPearls.png,,seaPearls1.png,seaPearls2.png,,,"Sometimes a tessellation’s pattern isn’t immediately evident. The core pattern of Sea Pearls (2011) (center) consists of red and white circles of various sizes and color intensities that extend to the whole hyperbolic plane under symmetries of the original tessellation (7,7,7,7). The asymmetry of this pattern has the overall effect of breaking the original symmetry of the tessellation, which consists of four heptagons at each vertex. Sea of Pearls (2018) (top left) is a perfect example of how the broken symmetry of one tessellation, Sea Pearls (2011) can enhance the symmetries of another (3, 3, 3, 3, 3, 3, 3)."
Algorithmic Math Art,algMathArt.png,,algMathArt1.png,algMathArt2.png,,,"The geometry and combinatorics behind tessellations provide the framework for creative, artistic expression. Sometimes, the choice of a particular motif can alter or hide the mathematical structure, obscuring or enhancing internal symmetries. Disoriented (top left), Disoriented and Confused (center), and Lost (bottom left) are based off hyperbolic tessellation (3, 4, 3, 4, 4) combined with patterns of increasing complexity and size. The mathematics and the algorithm behind the software Tess are determining the order in which the circles are drawn, hence the appearance of the artwork as a whole."
Sugaku-geijyutsu,sugaku.png,,sugaku1.jpg,sugaku2.png,sugaku3.png,sugaku4.jpg,"Sangaku (top left) are geometrical theorems or problems painted on wooden tablets. Placed as offerings at Shinto shrines and Buddhist temples during Japan’s Edo period (1603-1868) by members of all social classes, Sangaku were often presented as mathematical solutions to questions or challenges to congregants. Sugaku-geiyutsu I (2018) (top left two) uses sangaku from Tashiro Shrine of Gifu Prefecture as a tile for (4, 4, 4, 4, 4, 4). The next tessellation, Sugaku-geiyutsu II (bottom left) uses a photo taken of the torii gates at Fushimi Inari, the head shrine of the god Inari in Kyoto, Japan using a pattern of seven triangles. Seven Towers (2011) (center) features a tessellation of the hyperbolic plane inspired by Japanese pagodas. Shown in a classical black, red, and white color scheme, the tessellation emphasizes a local, seven-fold symmetry."
Uniqueness and Existence,nonUniqueF.png,,nonUniqueF1.png,nonUniqueF2.png,nonUniqueF3.png,nonUniqueF4.png,"The software Tess takes in a sequence of numbers and a vertex symbol and tries to construct a tessellation. The numbers in a vertex symbol -- say (3, 6, 4, 6) -- mean that around each point (vertex) of a tiling, there will be a triangle, a hexagon, a square, and a hexagon, in that precise order going around the point in the clockwise direction. The relation between the vertex symbols, and tessellations is intricate. Sometimes the tessellation corresponding to a symbol is unique and sometimes not. As the Tess code (bottom left) suggests, there are four different realizations of (3, 3, 3, 3, 3, 3, 5). Can you find the differences? Although there are infinitely many tessellations of the hyperbolic plane, not all vertex configurations form a tessellation e.g. (3, 5, 4, 5)."
The Twittering Machine,hyperKlee.png,,hyperKlee1.png,hyperKlee2.png,hyperKlee3.png,,"Beautiful ideas and objects in mathematics can present an aesthetically appealing visualization. The Twittering Machine (2002) is inspired by the work of Paul Klee and predates Twitter. It’s a uniform tessellation (4, 4, 4, 6) in disguise with the structure of (4, 4, 4, 6) enriched with different tiles of various degrees of symmetry. The appeal of this kind of tessellation can lie in the sheer appreciation of its visual characteristics, a comprehension of the mathematics behind them, or the interplay of the two."
A Day in the Life of a Mathematician,mathDay.png,,mathDay1.jpg,mathDay2.jpg,mathDay3.jpg,,"Mathematicians still use whiteboards to teach math? Yes, although blackboards and chalk are preferred for research and teaching. This hyperbolic and kaleidoscopic tessellation consists of six hexagons at each vertex, using the whiteboard in Dr. Radmila Sazdanović’s office to fill in the tiles. The edges of the tiles in the tessellation act as mirrors to reflect the board image."
